sample_id,field_ID,water_factor,skeleton,fine_earth_kgdm3,fine_earth_g,bulkdensity_gcm3,soil_moisture,class,road_class,urbimpact,profile_info,P_HNO3total_40_gkg,P_HNO3total_105_gkg,P_total_HNO3_gm2,P_HNO3total_105_mgkg,p_total_multiacid_40_mgkg,p_total_multiacid_105_mgkg,p_total_multiacid_105_gkg,p_total_multiacid_gm2,P_total_HNO3_gm2_pred,P_total_HNO3_gm2_filled,exch_Ca_stocks_gm2,exch_ca_105_cmolkg,ECEC_105,pH,SOCf_gkg,SOC_kgm2,C_N,farms,p_available_40_gkg,p_SOM_40_gkg,p_Ca_40_gkg,p_OCC_40_gkg,pavail_status,psom_status,pca_status,pocc_status,pavail_ge_loq,psom_ge_loq,pca_ge_loq,pocc_ge_loq,p_available_40_gkg_q,p_SOM_40_gkg_q,p_Ca_40_gkg_q,p_OCC_40_gkg_q,n_fractions_ge_loq,all4_ge_loq,frac_ge_loq_list,p_available_105_gkg,p_available_105_mgkg,p_available_gm2,p_available_gm2_lod0,p_SOM_105_gkg,p_SOM_105_mgkg,p_SOM_gm2,p_SOM_gm2_lod0,p_Ca_105_gkg,p_Ca_105_mgkg,p_Ca_gm2,p_Ca_gm2_lod0,p_OCC_105_gkg,p_OCC105_mgkg,p_OCC_gm2,p_OCC_gm2_lod0,p_avail_pct_HNO3,p_SOM_pct_HNO3,p_Ca_pct_HNO3,p_OCC_pct_HNO3,p_sum_pct_HNO3,flag_over100,p_EXT_total_gkg,p_EXT_total_gm2,p_EXT_total_gm2_lod0,p_avail_PERCENT_sumtotalP,p_avail_PERCENT_sumtotalP_lod0,p_SOM_PERCENT_sumtotalP,p_SOM_PERCENT_sumtotalP_lod0,p_Ca_PERCENT_sumtotalP,p_Ca_PERCENT_sumtotalP_lod0,p_OCC_PERCENT_sumtotalP,p_OCC_PERCENT_sumtotalP_lod0
1,abira 1a,1.015,11.32,1.13,289.3931509,1.28,1.498601143,Short-duration,High-intensity,Mild,,0.218801315,0.222080274,25.09507096,222.080274,NA,NA,NA,NA,NA,25.09507096,114.001064,4.765145413,6.44,5.5,17.72,2.01,11.61,abira1,0.005421941,NA,0.01956439,0.077082543,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.01956439,0.077082543,2,FALSE,PCa+POCC,0.00550327,5.503270115,0.621869523,0.621869523,NA,NA,NA,NA,0.019857856,19.85785585,2.243937711,2.243937711,0.078238781,78.23878115,8.840982269,8.840982269,2.478054451,NA,8.941746825,35.22995525,46.64975652,FALSE,0.103599907,11.7067895,11.7067895,5.312041553,5.312041553,NA,NA,19.16783171,19.16783171,75.52012673,75.52012673
2,abira 1b,1.02,24.07,0.85,218.001346,1.12,1.967260325,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,391,398.82,0.39882,33.8997,32.37105586,32.37105586,201.0585044,11.15626378,14.43,6.39,31.32,2.68,9.8,abira1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
3,abira 1c,1.011,14.78,1.2,305.5182212,1.4,1.090533598,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.52402647,3.148594599,4.84,4.99,14.67,1.76,12.65,abira1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
4,abira 2a,1.007,13.02,1.29,328.7181305,1.48,0.736761771,Short-duration,High-intensity,Mild,,0.115711575,0.116564093,15.036768,116.564093,NA,NA,NA,NA,NA,15.036768,42.68108356,1.5706061,2.9,4.93,9.1,1.17,13.37,abira2,0.005265507,NA,0.007074961,0.074079187,LOD–LOQ,NA,LOD–LOQ,>=LOQ,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,0.074079187,1,FALSE,POCC,0.005302366,5.302365549,0.684005156,0.684005156,NA,NA,NA,NA,0.007124486,7.124485727,0.919058659,0.919058659,0.074597741,74.59774131,9.623108629,9.623108629,4.548884148,NA,6.112075806,63.99718763,74.65814759,FALSE,0.087024593,11.22617244,11.22617244,6.09295073,6.09295073,NA,NA,8.186749878,8.186749878,85.72029939,85.72029939
5,abira 2b,1.009,9.71,1.39,353.7131931,1.53,0.937710816,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.2361859,3.120120481,4.67,6.06,12.27,1.7,11.53,abira2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
6,abira 2c,1.007,13.09,1.29,329.2775362,1.48,0.690136302,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.0556012,2.793988421,3.76,5.29,13.05,1.68,13.77,abira2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
7,abira 3a,1.011,27.7,1.01,257.0399874,1.39,1.08543914,Short-duration,High-intensity,Mild,,0.265611841,0.268494896,27.1179845,268.494896,NA,NA,NA,NA,NA,27.1179845,107.9098314,5.078270432,6.7,6.63,12.72,1.28,12.14,abira3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
8,abira 3b,1.029,26.27,1.06,269.9677501,1.42,2.853025937,Short-duration,High-intensity,Mild,,0.281635615,0.289670752,30.70509971,289.670752,NA,NA,NA,NA,NA,30.70509971,110.4051042,4.946895845,6.95,5.79,17.99,1.9,11.2,abira3,0.009932805,NA,0.018418374,0.11326225,LOD–LOQ,NA,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.018418374,0.11326225,2,FALSE,PCa+POCC,0.010220856,10.22085635,1.083410773,1.083410773,NA,NA,NA,NA,0.018952507,18.95250685,2.008965726,2.008965726,0.116546855,116.5468553,12.35396666,12.35396666,3.528439193,NA,6.542775449,40.23425025,50.30546489,FALSE,0.145720218,15.44634315,15.44634315,7.014027603,7.014027603,NA,NA,13.0060928,13.0060928,79.97987959,79.97987959
9,abira 3c,1.019,30.19,1.06,270.8683763,1.51,1.864973594,Short-duration,High-intensity,Mild,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.48269191,3.772810055,5.36,5.85,12.66,1.34,12.78,abira3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
10,aduabeng 1a(OFF GRID),1.013,45.24,0.74,188.7684717,1.34,1.282803361,Short-duration,Low-intensity,Weak,,0.246315286,0.249475026,18.46115192,249.475026,NA,NA,NA,NA,NA,18.46115192,95.81368661,6.139791069,8.76,6.06,19,1.41,9.94,aduabeng1,0.007774569,0.007382053,0.038350974,0.173316144,LOD–LOQ,<LOD,>=LOQ,>=LOQ,FALSE,FALSE,TRUE,TRUE,NA,NA,0.038350974,0.173316144,2,FALSE,PCa+POCC,0.007875638,7.875638397,0.582797241,0.582797241,0.00747802,7.478019689,0.553373457,0,0.038849537,38.84953666,2.874865713,2.874865713,0.175569253,175.5692534,12.99212475,12.99212475,3.156884488,2.997502319,15.57251533,70.37548254,92.10238467,FALSE,0.229772448,17.00316116,16.4497877,3.427581706,3.542886096,3.2545328,0,16.90783076,17.47661286,76.41005473,78.98050105
