blank,pavail_ppm,psom_ppm,pca_ppm,pocc_ppm
bk1,0.0058238,,0.003494,-0.010271651
bk2,0.0027488,,-0.0003175,0.262922496
bk3,0.003603,-0.000227302,0.0001825,-0.014740157
bk4,0.0152789,0.197173765,0.0742776,0.006294681
bk5,-0.0151901,0.002556058,-0.0006147,-0.036586866
bk6,0.0730465,-0.008586156,7.4E-05,-0.020241072
bk7,0.0123882,-0.000852019,0.0064875,-0.029985564
bk8,0.0136754,-0.000153913,-0.0011345,0.002127281
bk9,-0.0076494,0.002270219,-0.0017864,0.009271037
bk10,-0.0170752,-0.006645751,0.0025452,0.002516105
bk11,0.0042288,0.012305473,0.000208,0.011400068
bk12,-0.0055695,0.008848919,0.0001625,0.006787736
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
