sample_ID,p_available_40_gkg,p_SOM_40_gkg,p_Ca_40_gkg,p_OCC_40_gkg
1,0.005421941,,0.01956439,0.077082543
4,0.005265507,,0.007074961,0.074079187
8,0.009932805,,0.018418374,0.11326225
10,0.007657175,,0.038350974,0.215929135
14,0.004107138,,,
18,0.0049706,,,
21,0.004027197,,0.016842217,0.069916292
22,0.004866517,,0.019068849,0.107095133
26,0.015825995,,0.066867767,0.080127664
29,0.005532893,,0.008533921,0.132815572
32,0.007450315,,0.008775139,0.12370341
35,0.006258928,,0.008982326,0.088052084
38,0.00835923,,0.006741441,0.084993171
41,0.030367414,,0.008864736,0.103506079
43,0.023244982,,0.006531756,0.072707585
47,0.014035733,,0.029671896,0.070709522
49,0.010114428,,0.013228128,0.049092176
54,0.003725157,,0.00966537,0.0558448
57,0.039863425,,0.525543102,0.055964998
60,0.003706527,,0.009319763,0.059818894
61,0.007588467,,0.05010418,0.092250008
65,0.01370097,,0.056022741,0.133765653
HS1,0.018533146,,0.018415271,0.719045638
HS2,0.018098209,,0.019280779,0.785663567
BK1,0,,,-0.010271651
66,0.007812987,,0.017710791,0.19708331
72,0.159154053,,1.02784491,0.53711317
75,0.006844286,,0.050638878,0.208381823
76,0.046930829,,0.126119525,0.323381436
81,0.011510005,,0.027532239,0.106497091
83,0.057133099,,0.192421799,0.347546269
85,0.08715517,,0.438264835,0.31500372
89,0.13011095,,0.143897123,0.074652254
91,0.020101389,,0.095239839,0.191013951
95,0.007060306,,0.011818886,0.09744143
98,0.004655254,,0.024070471,0.131005854
101,0.002888213,,0.009092417,0.130482689
105,0.004422755,,0.02545662,0.150584833
108,0.003879103,,0.008144434,0.069269923
109,0.009269255,,0.024497377,0.084487294
114,0.004304336,,0.029258245,0.078046204
117,0.004025605,,0.018180366,0.052882097
118,0.047493269,,0.251816538,0.097848447
122,0.021845549,,0.356449711,0.279110474
126,0.011629085,,0.05591031,0.208679051
128,0.03640808,,0.145572795,0.128333514
132,0.007196817,,0.046923146,0.05004287
HS3,0.016965154,,0.000807168,0.514174523
HS4,0.01749692,,0.000641991,0.503061717
BK2,0,,-0.0003175,0
135,0.03751238,0.017924062,0.013862674,0.285735297
137,0.02653794,0.016562258,0.00271225,0.191543138
141,0.081824975,0.013900411,0.372015088,0.22472295
142,0.063999325,0.018653439,0.260600875,0.333069056
146,0.012268494,0.019762661,0.004496063,0.076514426
149,0.010941224,0.014233566,0.028439018,0.10737338
151,0.017747055,0.00977188,0.020100667,0.162733114
155,0.00844389,0.005479479,0.00328325,0.057729254
159,0.01238539,0.007141813,0.002210415,0.060193198
160,0.00997247,0.00737765,,0.060551675
165,0.00650889,0.006821379,0.000282953,0.088122257
167,0.013309831,0.014765795,0.000425273,0.115292475
170,0.014815169,0.019148557,0.001477187,0.041166728
173,0.069987193,0.035752467,0.019262144,0.101754516
177,0.030899527,0.023146287,0.103451601,0.142671958
180,0.026913117,0.007050086,0.012834665,0.129042447
182,0.021250283,0.008942133,0.000212848,0.036884567
184,0.006315898,0.004600164,0.000920511,0.048807406
188,0.039515077,0.024380193,0.056798897,0.104372993
190,0.008455164,0.01013664,0.007004089,0.056596967
194,0.006616339,0.005003117,6.97703E-05,0.049406675
197,0.005187864,0.005276153,6.50046E-05,0.033015309
HS5,0.019651516,0.002056411,0.000141899,0.229493288
HS6,0.018990802,0.002229755,0,0.233699759
BK3,0,-0.000227302,0,0
201,0.042382725,0.010110015,0.022514651,0.323209357
204,0.057950946,0.011530685,0.016260694,0.192090169
206,0.012221097,0.003612833,0.000842741,0.137904686
210,0.051390802,0.015782631,0.253656356,0.198344269
213,0.128655401,0.040713517,0.002940832,0.386292617
216,0.276049356,0.068944114,0.109583353,0.47959717
219,0.010765519,,,0.098660144
221,0.008209266,,,0.115920266
224,0.01308162,,,0.06082421
228,0.027817799,0.00467866,,0.106449133
232,0.027291673,0.009735024,0.085161589,0.189407665
233,0.01537417,0.01047018,0.014325692,0.102779697
238,0.011386607,,,0.093647949
241,0.005022368,0.001456432,,0.0867485
243,0.007294615,,,0.064497896
246,0.010701818,0.000816023,,0.068548505
250,0.009937403,,,0.077991421
251,0.009163832,,,0.067402961
254,0.014077987,0.002398372,,0.105266234
259,0.003376169,,,0.055877011
260,0.005727395,,,0.102402683
263,0.009472567,0.003332666,,0.052752112
HS7,0.016810198,,0,0.258491829
HS8,0.017900065,,0,0.255409704
BK4,0,0,0,0
266,0.009705706,0.004811279,0.001277996,0.040852774
271,0.013421887,0.009618208,0.01340788,0.084491352
274,0.04123603,0.017744741,0.115970552,0.171548118
277,0.010342064,0.01762005,0.013961826,0.065218968
279,0.01184752,0.014003926,,
281,0.00785833,0.004230413,0.000387795,0.048586757
285,0.006679866,0.004535623,0.00121393,0.049409054
288,0.006270035,0.010731717,,
290,0.0066742,0.012138252,,
294,0.014712989,0.009753837,,
297,0.004934162,0.004515454,0.007550971,0.064004995
299,0.01241602,0.010873402,0.009701688,0.067684382
301,0.019463348,0.009143395,0.00665244,0.072868472
303,0.004483886,0.004516196,,
308,0.063460601,0.028933302,,
312,0.020125284,0.006524354,0.001704617,0.085353134
315,0.01472558,0.010462714,,
317,0.004555414,0.00469045,0.00316849,0.08287108
321,0.008873857,0.011826964,,
324,0.030655728,0.025022593,,
326,0.014983943,0.01397174,,
330,0.018141807,0.013011568,0.020064633,0.091485572
HS9,0.0179063,0.002393811,0.007061373,0.227308441
HS10,0.018033917,0.002417253,0.007256098,0.229273902
BK5,-0.0151901,0,-0.0006147,-0.036586866
334,0.025966528,0.013888149,0.168835504,0.056193734
335,0.032451181,0.020070307,0.039053206,0.091530076
338,0.018934559,0.009614016,0.096509467,0.030533263
343,0.085419936,0.022351456,0.513905382,0.100400861
345,0.005612733,0.019652693,0.034471927,0.035197823
348,0.001748646,0.014755401,0.011390383,0.056862178
350,0.00022951,0.005649411,0.002711838,0.039993337
353,0.037570195,0.02006958,0.020689341,0.205515891
356,0.020044277,0.010588829,0.019095192,0.23726689
361,0.0267739,0.037097888,0.113734409,0.117692714
363,0.046875212,0.024884617,0.212806415,0.13652515
365,0.139441394,0.027363977,0.506970536,0.172979173
369,0.064812075,0.025333274,0.218571645,0.199491538
371,0.047342942,0.026383547,0.022585433,0.114468614
374,0.002075764,0.006855689,0.001257783,0.070209993
378,0.00608201,0.005005411,0.000695343,0.067630306
380,0.019962422,0.01774337,0.06635329,0.086139823
383,0.239563982,0.063837863,1.397152294,0.138449904
388,0.045589094,0.020280453,0.127794109,0.072253789
389,0.065726098,0.025212272,0.265482523,0.11689983
393,0.010148177,0.01097024,0.017818596,0.088242257
395,0.00320999,0.008122328,0.002778648,0.098435502
SA1,0.004408226,0.011405112,0.00534222,0.138701522
SA2,0.004076646,0.010910663,0.002301002,0.131204543
BK6,0,-0.008586156,0,-0.020241072
400,0.125541633,0.063648908,0.0296069,0.045306022
401,0.014825044,0.022061966,0.002740196,0.062041729
404,0.018105522,0.012510778,0.002155348,0.100319023
409,0.064564956,0.041085447,0.045972182,0.175411526
410,0.006741198,0.004565354,0.000577479,0.107424616
413,0.028909002,0.019012406,0.021749172,0.12455868
417,0.027015208,0.035083085,0.035907986,0.047698871
419,0.020832576,0.015023593,0.011772044,0.082796669
422,0.061443765,0.021152013,0.007193015,0.141411984
426,0.011072647,0.005289418,0.001575613,0.093261401
429,0.011322876,0.005475525,0.000626994,0.071226877
432,0.138926664,0.047351609,0.387394326,0.371467987
434,0.008550544,0.004644341,0.000342525,0.062194633
439,0.004412702,0.005077218,0.001884875,0.106904854
442,0.004951963,0.003514259,0.001614052,0.091777472
443,0.023238889,0.011898985,0.005972222,0.200715813
447,0.019483018,0.011369357,0.025537729,0.169113796
449,0.014085612,0.008591582,0.006352273,0.152761578
468,0.006455495,0.012482453,0.011623438,0.063032525
471,0.010229517,0.010592081,0.006755687,0.04787625
473,0.004821783,0.00851207,0.003648645,0.065171495
475,0.001585394,0.004167814,0.000679057,0.032904952
SA3,0.006336624,0.009472626,0.002905693,0.138671652
SA4,0.006505962,0.008651998,0.002856306,0.147210965
BK7,0,-0.000852019,0,-0.029985564
479,0.0062645,0.007200113,0.005319745,0.075344031
483,0.008448626,0.006205291,0.004007947,0.087520166
486,0.015614593,0.0182312,0.106148396,0.081401417
490,0.939088698,0.094179746,1.431572565,0.165227906
493,0.053731333,0.023989451,0.42958209,0.045891052
494,0.191253313,0.029333203,0.207640945,0.185898152
497,0.176390109,0.045554459,1.234120536,0.122574574
500,0.04399919,0.015925348,0.032846002,0.209108531
503,0.024559333,0.021102622,0.057272328,0.151587324
506,0.264998593,0.065268184,0.966471754,0.113222621
509,0.044764167,0.04675197,0.024354133,0.166507769
515,0.028808008,0.010145565,0.017441467,0.33429667
513,0.024524058,0.011707741,0.001599941,0.215899505
518,0.006953595,0.00577037,0.00088779,0.092057637
519,0.013543193,0.008090426,0.000732952,0.139901735
524,0.158690349,0.025997808,0.246692914,0.193592235
527,0.024614931,0.0131391,0.100074951,0.171622234
530,0.024499777,0.021160612,0.26919703,0.1337485
532,0.006364333,0.015362026,0.018251982,0.137435623
536,0.006325917,0.018825262,0.030715917,0.129002903
538,0.006891571,0.024898392,0.023130015,0.147278675
540,0.006463373,0.010442199,0.020269826,0.118528264
SA5,0.006807881,0.011915337,0.00385508,0.145995867
SA6,0.006967172,0.010278469,0.002708626,0.142902197
BK8,0,-0.000153913,-0.0011345,0.002127281
545,0.017636548,0.017137728,0.001541012,0.064175042
546,0.011351816,0.018121636,0.00216782,0.078682455
549,0.005903132,0.003668811,,0.069571469
552,0.073798,0.067755207,0.287605098,0.204387464
556,0.01193817,0.018224968,0.0074812,0.164941568
559,0.029130238,0.019084699,0.118030129,0.16950172
561,0.104205777,0.028805886,0.341983267,0.384715241
564,0.015789382,0.011666949,0.005673008,0.174972182
568,0.025645468,0.016236211,0.037572027,0.142280999
572,0.186366303,0.042320402,0.661643211,0.197483182
574,0.040013656,0.010551384,0.002028933,0.21100182
576,0.003699898,0.006419775,,0.11687363
579,0.005574192,0.003766912,5.34132E-05,0.054448464
583,0.037525124,0.010760357,0.00309671,0.170447957
586,0.003246006,0.005620838,0.000902438,0.087139072
589,0.008928852,0.011462478,0.000677335,0.02778989
592,0.008969331,0.009146002,0.000580743,0.062417956
